medcodeGold	medcodeA	readcode	readterm	Category
66475		66Ak.00	Diabetic monitoring - lower risk albumin excretion	Diabetes
13104		2BBK.00	O/E - no left diabetic retinopathy	Diabetes
	3.96661E+14	Cyu2100	[X]Malnutrit-relat diabetes mellitus with other spec comps	DiabetesOther
105741		2G5e.00	O/E - Right diabetic foot at increased risk	Diabetes
13192		9OLA.00	Diabetes monitor. check done	Diabetes
18311		68A7.00	Diabetic retinopathy screening	Diabetes
13195		9OL5.00	Diabetes monitoring 2nd letter	Diabetes
13071		66AI.00	Diabetic - good control	Diabetes
13197		9OL1.00	Attends diabetes monitoring	Diabetes
31172		2G5K.00	O/E - Left diabetic foot at high risk	Diabetes
31157		2G5F.00	O/E - Right diabetic foot at moderate risk	Diabetes
31156		2G5J.00	O/E - Left diabetic foot at moderate risk	Diabetes
9974		9N1v.00	Seen in diabetic eye clinic	Diabetes
506		C100112	Non-insulin dependent diabetes mellitus	Diabetes
12506		66AP.00	Diabetes: practice programme	Diabetes
28873		66Ai.00	Diabetic 6 month review	Diabetes
26604		66AY.00	Diabetic diet - good compliance	Diabetes
61461		9M00.00	Informed consent for diabetes national audit	Diabetes
34528		3882	Diabetes well being questionnaire	Diabetes
285267		1434	H/O: diabetes mellitus	Diabetes
25636		66Aa.00	Diabetic diet - poor compliance	Diabetes
12247		8I6G.00	Diabetic foot examination not indicated	Diabetes
3550		66A..00	Diabetic monitoring	Diabetes
53238		66AG.00	Diabetic drug side effects	Diabetes
63412		8CR2.00	Diabetes clinical management plan	Diabetes
38129		9N0o.00	Seen in community diabetic specialist nurse clinic	Diabetes
38130		ZRB6.00	Diabetes wellbeing questionnaire	Diabetes
38103		9N0m.00	Seen in diabetic nurse consultant clinic	Diabetes
49884		6761	Diabetic pre-pregnancy counselling	Diabetes
45250		ZL22500	Under care of diabetic liaison nurse	Diabetes
13196		66AD.00	Fundoscopy - diabetic check	Diabetes
11930		9NN9.00	Under care of diabetes specialist nurse	Diabetes
18167		66AT.00	Annual diabetic blood test	Diabetes
68818		ZRB5.11	DTSQ - Diabetes treatment satisfaction questionnaire	Diabetes
102434		66Au.00	Diabetic erectile dysfunction review	Diabetes
91164		ZRB4.11	CSQ - Diabetes clinic satisfaction questionnaire	Diabetes
26666		2G5E.00	O/E - Right diabetic foot at low risk	Diabetes
11348		9h42.00	Excepted from diabetes quality indicators: Informed dissent	Diabetes
22023		66AJz00	Diabetic - poor control NOS	Diabetes
12262		8I3X.00	Diabetic retinopathy screening refused	Diabetes
64142		8Hl1.00	Referral for diabetic retinopathy screening	Diabetes
12213		8BL2.00	Patient on maximal tolerated therapy for diabetes	Diabetes
11471		8B3l.00	Diabetes medication review	Diabetes
13067		66AZ.00	Diabetic monitoring NOS	Diabetes
22130		9OL3.00	Diabetes monitoring default	Diabetes
8414		8CA4100	Pt advised re diabetic diet	Diabetes
12307		66AU.00	Diabetes care by hospital only	Diabetes
13194		9OL4.00	Diabetes monitoring 1st letter	Diabetes
20900		9OLA.11	Diabetes monitored	Diabetes
38078		66A9.00	Understands diet - diabetes	Diabetes
10824		9N1i.00	Seen in diabetic foot clinic	Diabetes
47032		8CS0.00	Diabetes care plan agreed	Diabetes
8618		ZLA2500	Seen by diabetic liaison nurse	Diabetes
17095		2G5A.00	O/E - Right diabetic foot at risk	Diabetes
54601		9NN8.00	Under care of diabetologist	Diabetes
26667		2G5I.00	O/E - Left diabetic foot at low risk	Diabetes
61470		66Al.00	Diabetic monitoring - higher risk albumin excretion	Diabetes
	3.96671E+14	Cyu2200	[X]Malnutrit-related diabetes mellitus with unspec complics	DiabetesOther
47058		8Hg4.00	Discharged from care of diabetes specialist nurse	Diabetes
2379		9N1Q.00	Seen in diabetic clinic	Diabetes
106332		9m00.00	Eligible for diabetic retinopathy screening	Diabetes
10977		66Ac.00	Diabetic peripheral neuropathy screening	Diabetes
101177		66At.00	Diabetic dietary review	Diabetes
12507		9N2i.00	Seen by diabetic liaison nurse	Diabetes
47144		2BBM.00	O/E - diabetic maculopathy absent both eyes	Diabetes
57723		8HHy.00	Referral to diabetic register	Diabetes
29041		66AN.00	Date diabetic treatment start	Diabetes
32739		9N0n.00	Seen in community diabetes specialist clinic	Diabetes
13069		66A8.00	Has seen dietician - diabetes	Diabetes
31240		9OL7.00	Diabetes monitor.verbal invite	Diabetes
12675		66AQ.00	Diabetes: shared care programme	Diabetes
6430		9NM0.00	Attending diabetes clinic	Diabetes
35321		8H3O.00	Non-urgent diabetic admission	Diabetes
97824		ZRB6.11	DWBQ - Diabetes wellbeing questionnaire	Diabetes
47370		8HLE.00	Diabetology D.V. done	Diabetes
46521		9N2d.00	Seen by diabetologist	Diabetes
46533		13Y1.00	Diabetic association member	Diabetes
94699		ZRB5.00	Diabetes treatment satisfaction questionnaire	Diabetes
50937		8HTe.00	Referral to diabetes preconception counselling clinic	Diabetes
17869		66AL.00	Diabetic-uncooperative patient	Diabetes
608		66A2.00	Follow-up diabetic assessment	Diabetes
7059		8H2J.00	Admit diabetic emergency	Diabetes
95813		9N1o.00	Seen in multidisciplinary diabetic clinic	Diabetes
30648		9N4p.00	Did not attend diabetic retinopathy clinic	Diabetes
24363		8A13.00	Diabetic stabilisation	Diabetes
2378		66AJ.00	Diabetic - poor control	Diabetes
12030		9OL6.00	Diabetes monitoring 3rd letter	Diabetes
18747		8I6F.00	Diabetic retinopathy screening not indicated	Diabetes
20696		66AA.11	Injection sites - diabetic	Diabetes
50175		66AW.00	Diabetic foot risk assessment	Diabetes
95994		66Aq.00	Diabetic foot screen	Diabetes
11041		9h41.00	Excepted from diabetes qual indicators: Patient unsuitable	Diabetes
9897		9OL..00	Diabetes monitoring admin.	Diabetes
43951		66AK.00	Diabetic - cooperative patient	Diabetes
31241		9OLZ.00	Diabetes monitoring admin.NOS	Diabetes
11677		8H7r.00	Refer to diabetic foot screener	Diabetes
19381		8HTk.00	Referral to diabetic eye clinic	Diabetes
28574		9h4..00	Exception reporting: diabetes quality indicators	Diabetes
17886		66AM.00	Diabetic - follow-up default	Diabetes
16490		66AH.00	Diabetic treatment changed	Diabetes
22823		66Ab.00	Diabetic foot examination	Diabetes
8842		66A5.00	Diabetic on insulin	Diabetes
13070		66A1.00	Initial diabetic assessment	Diabetes
101728		66As.00	Diabetic on subcutaneous treatment	Diabetes
26603		9OL2.00	Refuses diabetes monitoring	Diabetes
26664		2G5B.00	O/E - Left diabetic foot at risk	Diabetes
31141		9OL8.00	Diabetes monitor.phone invite	Diabetes
68546		ZRB4.00	Diabetes clinic satisfaction questionnaire	Diabetes
19739		68A9.00	Diabetic retinopathy screening offered	Diabetes
46577		66AX.00	Diabetes: shared care in pregnancy - diabetol and obstet	Diabetes
28856		8CP2.00	Transition of diabetes care options discussed	Diabetes
2475		C104.11	Diabetic nephropathy	Diabetes
21689		13AB.00	Diabetic lipid lowering diet	Diabetes
57389		93C4.00	Patient consent given for addition to diabetic register	Diabetes
43857		C10M.00	Lipoatrophic diabetes mellitus	Diabetes
28769		66AV.00	Diabetic on insulin and oral treatment	Diabetes
31171		2G5G.00	O/E - Right diabetic foot at high risk	Diabetes
63371		C10y100	"Diabetes mellitus, adult, + other specified manifestation"	Diabetes
8836		66AR.00	Diabetes management plan given	Diabetes
55123		66AO.00	Date diabetic treatment stopp.	Remove
11094		9NND.00	Under care of diabetic foot screener	Diabetes
6813		1434	H/O: diabetes mellitus	Diabetes
61021		68AB.00	Diabetic digital retinopathy screening offered	Diabetes
47341		8A12.00	Diabetic crisis monitoring	Diabetes
13074		13B1.00	Diabetic diet	Diabetes
18824		8I3W.00	Diabetic foot examination declined	Diabetes
9145		9N4I.00	DNA - Did not attend diabetic clinic	Diabetes
58133		ZLD7500	Discharge by diabetic liaison nurse	Diabetes
6125		66AS.00	Diabetic annual review	Diabetes
70821		C10yz00	Diabetes mellitus NOS with other specified manifestation	Diabetes
11018		8HBG.00	Diabetic retinopathy 12 month review	Diabetes
70821		C10yz00	Diabetes mellitus NOS with other specified manifestation	Diabetes
27891		N030100	Diabetic Charcot arthropathy	Diabetes
47377		C105y00	Other specified diabetes mellitus with ophthalmic complicatn	Diabetes
33807		C107200	"Diabetes mellitus, adult with gangrene"	Diabetes
11129		2BBQ.00	O/E - left eye background diabetic retinopathy	Diabetes
9835		2BBL.00	O/E - diabetic maculopathy present both eyes	Diabetes
63357		C107100	"Diabetes mellitus, adult, + peripheral circulatory disorder"	Diabetes
16230		C106.00	Diabetes mellitus with neurological manifestation	Diabetes
13108		2BBX.00	O/E - left eye diabetic maculopathy	Diabetes
16502		C104.00	Diabetes mellitus with renal manifestation	Diabetes
33254		C105.00	Diabetes mellitus with ophthalmic manifestation	Diabetes
47584		F420500	Advanced diabetic retinal disease	Diabetes
11626		F420z00	Diabetic retinopathy NOS	Diabetes
17247		F35z000	Diabetic mononeuritis NOS	Diabetes
17067		F171100	Autonomic neuropathy due to diabetes	Diabetes
13279		C104y00	Other specified diabetes mellitus with renal complications	Diabetes
10755		F420600	Non proliferative diabetic retinopathy	Diabetes
16491		C106.13	Diabetes mellitus with polyneuropathy	Diabetes
34283		C105z00	Diabetes mellitus NOS with ophthalmic manifestation	Diabetes
13103		2BBS.00	O/E - left eye preproliferative diabetic retinopathy	Diabetes
7045		14F4.00	H/O: Admission in last year for diabetes foot problem	Diabetes
13101		2BBV.00	O/E - left eye proliferative diabetic retinopathy	Diabetes
45499		K01x111	Kimmelstiel - Wilson disease	Diabetes
52041		2BBl.00	O/E - left eye stable treated prolif diabetic retinopathy	Diabetes
35316		2G5H.00	O/E - Right diabetic foot - ulcerated	Diabetes
10659		F464000	Diabetic cataract	Diabetes
