MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release
1665741000000117	180 minute plasma glucose level	44gA	44gA.00	1003121000000103	2561101000000114	
259587012	Serum fasting glucose level	44f1	44f1.00	1003131000000101	2564071000000115	
259598013	Plasma fasting glucose level	44g1	44g1.00	1003141000000105	2560571000000116	
70361000006116	Urine test for glucose	466	466..00	1003181000000102	2585411000000116	
404515015	Urine dipstick for glucose	4669	4669.00	1003181000000102	2585411000000116	
259800016	Urine glucose test NOS	466Z	466Z.00	1003181000000102	2585411000000116	
457628015	30 minute blood glucose level	44TE	44TE.00	1003691000000108	2584801000000117	
457384010	60 minute blood glucose level	44TF	44TF.00	1003701000000108	2585471000000114	
457491012	90 minute blood glucose level	44TG	44TG.00	1003711000000105	2584811000000115	
457490013	120 minute blood glucose level	44TH	44TH.00	1003721000000104	2579861000000112	
457605016	150 minute blood glucose level	44TI	44TI.00	1003731000000102	2561191000000119	
186131017	Glucose tolerance test	7P172	7P17200	1005711000000106	2585781000000117	
803621000006115	Glucose tolerance test	44V	44V..00	1005711000000106	2585781000000117	
375613019	Blood glucose tolerance	44V-1	44V..11	1005711000000106	2585781000000117	
762431000006110	Fluid sample glucose	4I39	4I39.00	1010401000000107	2578501000000118	
411749015	Glucose in sample	4I39-1	4I39.11	1010401000000107	2578501000000118	
129841000000118	Serum glucose level	44f	44f..00	1010611000000107	2578521000000110	
457616011	30 minute serum glucose level	44f3	44f3.00	1010621000000101	2586481000000115	
457617019	60 minute serum glucose level	44f4	44f4.00	1010631000000104	2562021000000111	
457712015	90 minute serum glucose level	44f5	44f5.00	1010641000000108	2574281000000115	
457620010	120 minute serum glucose level	44f6	44f6.00	1010651000000106	2574291000000118	
457908016	150 minute serum glucose level	44f7	44f7.00	1010661000000109	2564981000000117	
502060018	Plasma glucose	44TA	44TA.00	1010671000000102	2582401000000112	
134471000000110	Plasma glucose level	44g	44g..00	1010671000000102	2582401000000112	
457608019	30 minute plasma glucose level	44g3	44g3.00	1010681000000100	2564991000000115	
457609010	60 minute plasma glucose level	44g4	44g4.00	1010691000000103	2552411000000115	
457711010	90 minute plasma glucose level	44g5	44g5.00	1010701000000103	2586491000000118	
457612013	120 minute plasma glucose level	44g6	44g6.00	1010711000000101	2565001000000110	
457613015	150 minute plasma glucose level	44g7	44g7.00	1012661000000105	2578791000000119	
977341000006114	Glucose level	4Q80	4Q80.00	1018851000000108	2575211000000111	
259584017	Serum random glucose level	44f0	44f0.00	1028881000000105	2600091000000116	
259588019	Serum 2-hr post-prandial glucose level	44f2	44f2.00	1028891000000107	2600101000000112	
259601015	Plasma 2-hr post-prandial glucose level	44g2	44g2.00	1028901000000108	2600121000000115	
433741000006118	2 hour post-prandial blood glucose level	44U7	44U7.00	1030551000000103	2599601000000116	
259597015	Plasma random glucose level	44g0	44g0.00	1031331000000106	2600111000000114	
259307010	Blood glucose method	44T	44T..00	1031451000000106	2598861000000114	
2634891000000112	210 minute plasma glucose concentration	44gB		1045471000000104	2634891000000112	
259368019	Glucose tolerance test NOS	44VZ	44VZ.00	113076002	186131017	
259341019	Blood glucose method NOS	44TZ	44TZ.00	166888009	259307010	
259346012	Blood glucose 0-1.4 mmol/L	44U1	44U1.00	166914001	259346012	
259347015	Blood glucose 1.5-2.4 mmol/L	44U2	44U2.00	166915000	259347015	
259348013	Blood glucose 2.5-4.9 mmol/L	44U3	44U3.00	166916004	259348013	
259349017	Blood glucose 5-6.9 mmol/L	44U4	44U4.00	166917008	259349017	
259350017	Blood glucose 7-9.9 mmol/L	44U5	44U5.00	166918003	259350017	
259351018	Blood glucose 10-13.9 mmol/L	44U6	44U6.00	166919006	259351018	
259353015	Blood glucose normal	44U8	44U8.00	166921001	259353015	
259356011	Blood glucose abnormal	44U9	44U9.00	166922008	259356011	
412230017	"[D]Glucose, blood level abnormal"	R1057	R105700	166922008	259356011	
259357019	Blood glucose 14+ mmol/L	44UZ	44UZ.00	166923003	259357019	
259363011	Glucose tolerance test normal	44V1	44V1.00	166926006	259363011	
259364017	Glucose tol. test impaired	44V2	44V2.00	166927002	259364017	
1222530014	[D]Impaired glucose tolerance test	R102-2	R102.12	166927002	2818163011	
259365016	Glucose tol. test diabetic	44V3	44V3.00	166928007	2817641015	
259790016	Urine glucose test negative	4662	4662.00	167261002	259790016	
259791017	Urine glucose test = trace	4663	4663.00	167262009	259791017	
259794013	Urine glucose test = +	4664	4664.00	167264005	259794013	
259795014	Urine glucose test = ++	4665	4665.00	167265006	259795014	
259796010	Urine glucose test = +++	4666	4666.00	167266007	259796010	
259797018	Urine glucose test = ++++	4667	4667.00	167267003	259797018	
260209019	Urine glucose: chem. titre	46S4	46S4.00	167523004	260209019	
803551000006111	Glucose - urine titre	46S4-1	46S4.11	167523004	260209019	
1807291000006110	Capillary random blood glucose level	JHCCA10		1807291000006106	1807291000006110	
1807301000006111	Capillary fasting blood glucose level	JHCCA11		1807301000006107	1807301000006111	
70051000006115	Urine screen for glucose	68K1	68K1.00	268556000	401577015	
317635013	[D]Glucose tolerance test abnormal	R102	R102.00	274858002	410727018	
1807281000006112	Capillary blood glucose measurement	JHCCA9		302789003	444676015	
147491000006111	Self monitoring of blood glucose	8A17	8A17.00	308113006	451421013	
147501000006115	Self monitoring of urine glucose	8A18	8A18.00	308114000	451422018	
147481000006113	Self monitoring of blood and urine glucose	8A19	8A19.00	308115004	451423011	
457053016	Glucose load test	44j	44j..00	313194008	457053016	
1824941000006112	Glucose monitoring at home	EMISNQGL4		359772000	475099017	
1812221000006112	Ambulat contin glucose monitor of interstitial tissue fluid	8A1B	8A1B.00	439926003	2791248017	
1787101000006114	Ambulatory continuous glucose monitoring of interstitial tissue fluid	EMISNQAM11		439926003	2791248017	
259358012	Blood glucose raised NOS	44Uz	44Uz.00	444780001	2872829018	
2476507015	[D]Elevated blood glucose level	R10D	R10D.00	444780001	2872829018	
500531000006111	Average home blood glucose	EMISHGT210		500531000006107	500531000006111	
500541000006118	Average post-breakfast blood glucose	EMISHGT215		500541000006102	500541000006118	
500551000006116	Average post-dinner blood glucose	EMISHGT217		500551000006100	500551000006116	
500561000006119	Average post-lunch blood glucose	EMISHGT216		500561000006103	500561000006119	
500571000006114	Average pre-bed blood glucose	EMISHGT214		500571000006105	500571000006114	
500591000006110	Average pre-breakfast blood glucose	EMISHGT211		500591000006106	500591000006110	
500631000006110	Average pre-lunch blood glucose	EMISHGT212		500631000006106	500631000006110	
500651000006115	Average pre-tea blood glucose	EMISHGT213		500651000006104	500651000006115	
1739991000000114	Overnight blood glucose range	44TJ7	44TJ700	773781000000106	1727751000000113	
1739411000000110	Bedtime blood glucose range	44TJ2	44TJ200	773931000000105	1728941000000113	
