medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid
1008691000006110	HAD scale - frightened with butterflies	EMISNQHA14		1008691000006106	1008691000006110
853241000006119	Phobic anxiety	EGTON122		853241000006103	853241000006119
1839791000006119	GAD-7 score - becoming easily annoyed or irritable	EMISNQGA16		1839791000006103	1839791000006119
1956411000006117	GAD-7 total score 10-14 (moderate)	EMISNQGA27		1956411000006101	1956411000006117
1956661000006117	Keele ENHANCE trial-anxty/dep-signpost to mental health charity	EMISNQKE217		1956661000006101	1956661000006117
1882561000006118	GAD-2 (generalised anxiety disorder 2) scale score	EMISNQGA18		1882561000006102	1882561000006118
982251000006112	Depression anxiety stress scales stress score	EMISNQDE4		982251000006108	982251000006112
1839801000006118	GAD-7 score - feeling afraid as if something awful might happen	EMISNQGA17		1839801000006102	1839801000006118
1839761000006110	GAD-7 score - worrying too much about different things	EMISNQGA13		1839761000006106	1839761000006110
1995091000006119	HoNOS (Health of the Nation Outcome Scales) for working age adults rating scale 8c - obsessive-compulsive	EMISNQHO160		1995091000006103	1995091000006119
1839771000006115	GAD-7 score - trouble relaxing	EMISNQGA14		1839771000006104	1839771000006115
1956561000006118	Keele ENHANCE trial - anxiety/depression - no f/up appt needed	EMISNQKE208		1956561000006102	1956561000006118
972931000006117	** The treatment of anxiety disorders	TRIQQZZ49		972931000006101	972931000006117
1956541000006117	Keele ENHANCE trial-anxiety/depresn written advice-managing mood	EMISNQKE206		1956541000006101	1956541000006117
1809341000006115	Fear of disease	JHCFE5		1809341000006104	1809341000006115
1956471000006114	Keele ENHANCE trial-anxiety/depresn verbal advice-healthy eating	EMISNQKE199		1956471000006105	1956471000006114
960061000006117	Fearful/hypervigilant behaviour	EMISCFE1		960061000006101	960061000006117
1721191000006118	IAPT (Improving Access to Psych Therapies) prgrmme phobia scale	EMISNQIA1		1721191000006102	1721191000006118
2019001000006116	Keele STarT MSK score - anxious or low mood because of pain	EMISNQKE306		2019001000006100	2019001000006116
1956621000006111	Keele ENHANCE trial-anxiety/depression- immediate advice from GP	EMISNQKE213		1956621000006107	1956621000006111
647721000006115	EPNDS question 5 - panic	EMISHGT025		647721000006104	647721000006115
1808511000006119	Recurrent panic attacks	JHCRE17		1808511000006103	1808511000006119
1809331000006113	Symptoms of agoraphobia	EMISNQSY10		1809331000006109	1809331000006113
2659511000000118	Signposting to OCD-UK (Obsessive-Compulsive Disorder-UK)	ESCTSI21		1057311000000107	2659511000000118
1956601000006118	Keele ENHANCE trial - anxiety/depression - f/up GP appt booked	EMISNQKE212		1956601000006102	1956601000006118
1839741000006111	GAD-7 score - feeling nervous, anxious or on edge	EMISNQGA11		1839741000006107	1839741000006111
1839781000006117	GAD-7 score - being so restless that it is hard to sit still	EMISNQGA15		1839781000006101	1839781000006117
1861181000006114	Breathlessness causing anxiety	EMISNQBR37		1861181000006105	1861181000006114
1956421000006113	GAD-7 total score 15-21 (severe)	EMISNQGA28		1956421000006109	1956421000006113
1956441000006118	Keele ENHANCE trial - anxiety/depression advice	EMISNQKE197		1956441000006102	1956441000006118
1956531000006110	Keele ENHANCE trial- anxiety/depression written advice - alcohol	EMISNQKE205		1956531000006106	1956531000006110
1956631000006114	Keele ENHANCE trial-anxiety/dep-signpost to slimming club	EMISNQKE214		1956631000006105	1956631000006114
1956831000006113	Keele ENHANCE trial-anxiety/dep-signpost to online resources	EMISNQKE219		1956831000006109	1956831000006113
982241000006110	Depression anxiety stress scales anxiety score	EMISNQDE3		982241000006106	982241000006110
1956381000006115	GAD-7 total score (anxiety severity grading)	EMISNQGA24		1956381000006104	1956381000006115
1956461000006119	Keele ENHANCE trial-anxiety/deprs verbal advc-increasng activity	EMISNQKE198		1956461000006103	1956461000006119
504351000006118	Beck anxiety inventory	EMISHGT020		504351000006102	504351000006118
