"medcode"	"readcode"	"desc"
"0"	""	""
"462"	"E200111"	"Panic attack"
"636"	"E200.00"	"Anxiety states"
"655"	"E200300"	"Anxiety with depression"
"791"	"E20z.11"	"Nervous breakdown"
"962"	"Eu41111"	"[X]Anxiety neurosis"
"966"	"E207.00"	"Hypochondriasis"
"1131"	"E204.00"	"Neurotic depression reactive type"
"1293"	"E214100"	"Obsessional personality"
"1510"	"E202B00"	"Cancer phobia"
"1723"	"E202800"	"Claustrophobia"
"1758"	"E200400"	"Chronic anxiety"
"1907"	"E202.00"	"Phobic disorders"
"2030"	"E203100"	"Obsessional neurosis"
"2300"	"E202000"	"Phobia unspecified"
"2366"	"E202C00"	"Dental phobia"
"2571"	"Eu40000"	"[X]Agoraphobia"
"2729"	"E21y711"	"Neurotic personality"
"3076"	"E202100"	"Agoraphobia with panic attacks"
"3208"	"E203.00"	"Obsessive-compulsive disorders"
"3407"	"1466.00"	"H/O: anxiety state"
"4069"	"E200100"	"Panic disorder"
"4081"	"Eu41012"	"[X]Panic state"
"4167"	"E202A00"	"Fear of flying"
"4534"	"E200z00"	"Anxiety state NOS"
"4634"	"E200500"	"Recurrent anxiety"
"4659"	"E200200"	"Generalised anxiety disorder"
"5249"	"E20..00"	"Neurotic disorders"
"5274"	"286..00"	"Poor insight into neurotic condition"
"5304"	"Eu42.00"	"[X]Obsessive - compulsive disorder"
"5385"	"Eu41.00"	"[X]Other anxiety disorders"
"5678"	"E203000"	"Compulsive neurosis"
"6071"	"E202E00"	"Fear of pregnancy"
"6221"	"E292000"	"Separation anxiety disorder"
"6408"	"Eu41011"	"[X]Panic attack"
"6939"	"E200000"	"Anxiety state unspecified"
"7222"	"Eu40z11"	"[X]Phobia NOS"
"7537"	"Eu45200"	"[X]Hypochondriacal disorder"
"7737"	"Eu34113"	"[X]Neurotic depression"
"7749"	"Eu41211"	"[X]Mild anxiety depression"
"8205"	"Eu41000"	"[X]Panic disorder [episodic paroxysmal anxiety]"
"8424"	"Eu60600"	"[X]Anxious [avoidant] personality disorder"
"8584"	"Eu34111"	"[X]Depressive neurosis"
"8725"	"2259.00"	"O/E - nervous"
"9386"	"Eu40.00"	"[X]Phobic anxiety disorders"
"9686"	"E2...00"	"Neurotic, personality and other nonpsychotic disorders"
"9785"	"Eu40200"	"[X]Specific (isolated) phobias"
"9944"	"E202.12"	"Phobic anxiety"
"10344"	"Eu41100"	"[X]Generalized anxiety disorder"
"10390"	"E202D00"	"Fear of death"
