MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release
138421012	Agitated depression	E135	E135.00	83458005	138421012	
253619019	O/E - depressed	2257	2257.00	162722001	253619019	
294838013	Recurrent major depressive episodes, moderate	E1132	E113200	191611001	294838013	
294844012	Recurrent depression	E1137	E113700	191616006	294844012	
294863013	Bipolar affective disorder, currently depressed, moderate	E1152	E115200	191630001	294863013	
294837015	Recurrent major depressive episodes, mild	E1131	E113100	191610000	294837015	
294860011	Manic-depressive - now depressed	E115-1	E115.11	191627008	294860011	
294862015	Bipolar affective disorder, currently depressed, mild	E1151	E115100	191629006	294862015	
294917018	Reactive depressive psychosis	E130	E130.00	191676002	294917018	
294918011	Psychotic reactive depression	E130-1	E130.11	191676002	294918011	
294828015	Single major depressive episode, severe, with psychosis	E1124	E112400	191604000	294828015	
294840015	Recurrent major depressive episodes, severe, with psychosis	E1134	E113400	191613003	294840015	
294894013	Atypical depressive disorder	E11y2	E11y200	191659001	294894013	
295537016	Chronic depression	E2B1	E2B1.00	192080009	295537016	
407062014	C/O - feeling depressed	1B17-1	1B17.11	272022009	407062014	
441826016	Endogenous depression	E112-4	E112.14	300706003	441826016	
410861011	Endogenous depression - recurrent	E113-1	E113.11	274948002	410861011	
346972018	Endogenous depression first episode	E112-3	E112.13	231499006	346972018	
346973011	Masked depression	E11z2	E11z200	231500002	346973011	
1488626018	Symptoms of depression	1B1U	1B1U.00	394924000	1488626018	
1488771018	Postnatal depression counselling	6G00	6G00.00	395072006	1488771018	
1780205015	H/O: manic depressive disorder	146D	146D.00	400998002	1780205015	
2474715017	On depression register	9HA0	9HA0.00	413169006	2474715017	
213641000000111	[X]Mild depression	Eu324	Eu32400	310495003	213641000000111	
2533375017	Patient given advice about management of depression	8CAa	8CAa.00	415044007	2533375017	
681801000000113	On full dose long term treatment for depression	9kQ-1	9kQ..11	361761000000106	681801000000113	
882831000006113	Severe depression	Eu322-99	Eu32299	397701000000102	882831000006113	
915521000006112	Geriatric depression scale - 6 points	EMISNQGE8		915521000006108	915521000006112	
915561000006118	Geriatric depression scale - 10 points	EMISNQGE12		915561000006102	915561000006118	
915611000006115	Geriatric depression scale - 15 points	EMISNQGE17		915611000006104	915611000006115	
915501000006119	Geriatric depression scale - 5 points	EMISNQGE6		915501000006103	915501000006119	
915531000006110	Geriatric depression scale - 7 points	EMISNQGE9		915531000006106	915531000006110	
915541000006117	Geriatric depression scale - 8 points	EMISNQGE10		915541000006101	915541000006117	
915571000006113	Geriatric depression scale - 11 points	EMISNQGE13		915571000006109	915571000006113	
915461000006119	Geriatric depression scale - 1 point	EMISNQGE2		915461000006103	915461000006119	
