medcodeid	term	originalreadcode	snomedctconceptid	snomedctdescriptionid	readcode	condition	score
459694018	diabetic lipid lowering diet	13AB	315207000	459694018	13AB.00	Diabetes (uncomplicated)	1
459695017	diabetic weight reducing diet	13AC	315208005	459695017	13AC.00	Diabetes (uncomplicated)	1
250447011	diabetic diet	13B1	160670007	250447011	13B1.00	Diabetes (uncomplicated)	1
418920011	diabetic child	13L4-1	444094009	2840938016	13L4.11	Diabetes (uncomplicated)	1
459155018	bird fancier	13N8	314767008	459155018	13N8.00	Chronic pulmonary disease	1
251187019	diabetic association member	13Y1	161102006	251187019	13Y1.00	Diabetes (uncomplicated)	1
251191012	asthma society member	13Y4	161105008	251191012	13Y4.00	Chronic pulmonary disease	1
251194016	alzheimer's disease society member	13Y7	161108005	251194016	13Y7.00	Dementia	1
2474668015	stroke group member	13YA	413119003	2474668015	13YA.00	Cerebrovascular disease	1
397818015	h/o: malignant neoplasm (*)	142	266987004	397818015	142..00	Any malignancy	2
411872014	h/o: carcinoma	142-2	275903009	411872014	142..12	Any malignancy	2
251569011	h/o malignant melanoma	14250	161432005	251569011	1425000	Any malignancy	2
251591016	h/o: diabetes mellitus	1434	161445009	251591016	1434	Diabetes (uncomplicated)	1
251625013	h/o: dementia	1461	161465002	251625013	1461.00	Dementia	1
451368019	h/o: cerebrovascular disease	1477	308064009	451368019	1477.00	Cerebrovascular disease	1
810811000006116	h/o: myocardial infarct <60	14A3	161502000	251675010	14A3.00	Myocardial infarction	1
810821000006112	h/o: myocardial infarct >60	14A4	161503005	251678012	14A4.00	Myocardial infarction	1
251680018	h/o: heart failure	14A6	161505003	251680018	14A6.00	Congestive heart failure	1
809421000006116	h/o: cva/stroke	14A7	275526006	2986886017	14A7.00	Cerebrovascular disease	1
2476091017	h/o: stroke	14A7-2	275526006	2476091017	14A7.12	Cerebrovascular disease	1
251699010	h/o: aortic aneurysm	14AE	161514008	251699010	14AE.00	Peripheral vascular disease	1
451369010	h/o: myocardial infarction in last year	14AH	308065005	451369010	14AH.00	Myocardial infarction	1
451371010	h/o: stroke in last year	14AK	308067002	451371010	14AK.00	Cerebrovascular disease	1
453099015	h/o: heart failure in last year	14AM	309634009	453099015	14AM.00	Congestive heart failure	1
1738171000006114	history of myocardial infarction	14AT	399211009	2986492018	14AT.00	Myocardial infarction	1
1765681000000110	history of chronic obstructive pulmonary disease	14B3-2	270473001	1765681000000110	14B3.12	Chronic pulmonary disease	1
