medcodeid	term	originalreadcode	snomedctconceptid	snomedctdescriptionid	readcode	condition	score
250316018	very heavy drinker - >9u/day	1366	160578007	250316018	1366.00	Alcohol abuse	1
342322012	very heavy drinker	136Q	228279004	342322012	136Q.00	Alcohol abuse	1
299061000000117	hazardous alcohol use	136S	198421000000108	299061000000117	136S.00	Alcohol abuse	1
299081000000114	harmful alcohol use	136T	198431000000105	299081000000114	136T.00	Alcohol abuse	1
606991000000117	alcohol misuse	136W	15167005	606991000000117	136W.00	Alcohol abuse	1
459694018	diabetic lipid lowering diet	13AB	315207000	459694018	13AB.00	Diabetes (uncomplicated)	1
459695017	diabetic weight reducing diet	13AC	315208005	459695017	13AC.00	Diabetes (uncomplicated)	1
250447011	diabetic diet	13B1	160670007	250447011	13B1.00	Diabetes (uncomplicated)	1
2533732013	substance misuse increased	13c5	415661006	2533732013	13c5.00	Drug abuse	1
2533731018	substance misuse decreased	13c6	415660007	2533731018	13c6.00	Drug abuse	1
2549278014	reduced drugs misuse	13c8	416751004	2549278014	13c8.00	Drug abuse	1
342441014	misuses drugs orally	13cB	228375008	342441014	13cB.00	Drug abuse	1
2548750019	prolonged high dose use of cannabis	13cE	416246006	2548750019	13cE.00	Drug abuse	1
2548950012	preoccupied with substance misuse	13cF	416437003	2548950012	13cF.00	Drug abuse	1
2548434014	persistent substance misuse	13cH	417471002	2548434014	13cH.00	Drug abuse	1
1627491000006112	substance misuse	13cM	66214007	2310431000000117	13cM.00	Drug abuse	1
418921010	schizophrenic child	13L3-2	444180005	2841046013	13L3.12	Psychoses	1
418920011	diabetic child	13L4-1	444094009	2840938016	13L4.11	Diabetes (uncomplicated)	1
459155018	bird fancier	13N8	314767008	459155018	13N8.00	Chronic pulmonary disease	1
2549886016	abstinent from drug misuse on maintenance replacement	13r3	712545004	3082905013	13r3.00	Drug abuse	1
2548888013	abstinent from drug misuse when receiving blocking therapy	13r4	712546003	3082849014	13r4.00	Drug abuse	1
251187019	diabetic association member	13Y1	161102006	251187019	13Y1.00	Diabetes (uncomplicated)	1
251188012	schizophrenia association member	13Y2	161103001	251188012	13Y2.00	Psychoses	1
251190013	manic-depression association member	13Y3	161104007	251190013	13Y3.00	Depression	1
251191012	asthma society member	13Y4	161105008	251191012	13Y4.00	Chronic pulmonary disease	1
251195015	alcoholics anonymous	13Y8	1099951000000107	2753901000000119	13Y8.00	Alcohol abuse	1
2474668015	stroke group member	13YA	413119003	2474668015	13YA.00	Other neurological disorders	1
2693857014	history of hepatitis b	141E	429721005	2693857014	141E.00	Liver disease	1
1137511000000111	history of viral hepatitis	141F	473117004	2955906018	141F.00	Liver disease	1
397818015	h/o: malignant neoplasm (*)	142	266987004	397818015	142..00	Solid tumour or leukaemia	1
411872014	h/o: carcinoma	142-2	275903009	411872014	142..12	Solid tumour or leukaemia	1
251569011	h/o malignant melanoma	14250	161432005	251569011	1425000	Solid tumour or leukaemia	1
251589012	h/o: hypothyroidism	1432	161443002	251589012	1432.00	Hypothyroidism	1
251591016	h/o: diabetes mellitus	1434	161445009	251591016	1434	Diabetes (uncomplicated)	1
251604013	h/o: obesity	1444	161453001	251604013	1444.00	Obesity	1
251614016	h/o: anaemia vit.b12 deficient	1452	161457000	3009146015	1452.00	Deficiency anaemia	1
251625013	h/o: dementia	1461	161465002	251625013	1461.00	Other neurological disorders	1
251626014	h/o: alcoholism	1462	161466001	251626014	1462.00	Alcohol abuse	1
251628010	h/o: schizophrenia	1464	161468000	251628010	1464.00	Psychoses	1
251629019	h/o: depression	1465	161469008	251629019	1465.00	Depression	1
1780205015	h/o: manic depressive disorder	146D	400998002	1780205015	146D.00	Psychoses	1
2476701016	h/o: drug abuse	146F	371435006	2476701016	146F.00	Drug abuse	1
300411000000110	h/o: psychosis	146H	198991000000103	300411000000110	146H.00	Psychoses	1
251644018	h/o: epilepsy	1473	161480008	251644018	1473.00	Other neurological disorders	1
451368019	h/o: cerebrovascular disease	1477	308064009	451368019	1477.00	Other neurological disorders	1
1148731000000112	history of parkinson's disease	147F	515841000000104	1148731000000112	147F.00	Other neurological disorders	1
251674014	h/o: hypertension	14A2	161501007	251674014	14A2.00	Hypertension (uncomplicated)	1
251680018	h/o: heart failure	14A6	161505003	251680018	14A6.00	Congestive heart failure	1
809421000006116	h/o: cva/stroke	14A7	275526006	2986886017	14A7.00	Other neurological disorders	1
2476091017	h/o: stroke	14A7-2	275526006	2476091017	14A7.12	Other neurological disorders	1
251698019	h/o ventricular fibrillation	14AD	161513002	251698019	14AD.00	Cardiac arrythmia	1
251699010	h/o: aortic aneurysm	14AE	161514008	251699010	14AE.00	Peripheral vascular disease	1
451371010	h/o: stroke in last year	14AK	308067002	451371010	14AK.00	Other neurological disorders	1
453099015	h/o: heart failure in last year	14AM	309634009	453099015	14AM.00	Congestive heart failure	1
456154015	h/o: atrial fibrillation	14AN	312442005	456154015	14AN.00	Cardiac arrythmia	1
303101000000110	history of ventricular tachycardia	14AP	200061000000108	303101000000110	14AP.00	Cardiac arrythmia	1
303131000000116	history of supraventricular tachycardia	14AQ	200071000000101	303131000000116	14AQ.00	Cardiac arrythmia	1
2692063011	history of atrial flutter	14AR	428076002	2692063011	14AR.00	Cardiac arrythmia	1
