medcode	readcode	readterm	condition	score
100002	B062z00	malignant neoplasm of tonsillar fossa nos	Any malignancy	2
100006	B602200	burkitt's lymphoma of intrathoracic lymph nodes	Any malignancy	2
100015	8CRB.00	transient ischaemic attack clinical management plan	Cerebrovascular disease	1
100025	7A34F00	operation on aneurysm of suprarenal artery nec	Peripheral vascular disease	1
100033	U60231E	[x] adverse reaction to insulins and antidiabetic agents nos	Diabetes (uncomplicated)	1
100036	7A41D00	bypass iliac artery by iliac/iliac artery anastomosis nec	Peripheral vascular disease	1
1001	H3...00	chronic obstructive pulmonary disease	Chronic pulmonary disease	1
100107	679J000	health education - asthma self management	Chronic pulmonary disease	1
100111	BB46.00	[m]schneiderian carcinoma	Any malignancy	2
100113	7A47.12	other emergency bypass of common femoral artery	Peripheral vascular disease	1
100128	F124.00	vascular parkinsonism	Cerebrovascular disease	1
100139	14AT.00	history of myocardial infarction	Myocardial infarction	1
100144	B004300	"malignant neoplasm of lip, oral aspect"	Any malignancy	2
100183	B807300	carcinoma in situ of meckel's diverticulum	Any malignancy	2
100187	38DZ.00	disease activity score in rheumatoid arthritis	Rheumatic disease	1
100195	7A1B600	endovascular stenting for aortic aneurysm of bifurcation nec	Peripheral vascular disease	1
100205	K0E..00	acute-on-chronic renal failure	Renal disease	2
100237	38Dg.00	chronic obstructive pulmonary disease assessment test	Chronic pulmonary disease	1
100253	J615C00	xanthomatous portal cirrhosis	Mild liver disease	1
100267	BBZG.11	"[m]adamantinoma, malignant"	Any malignancy	2
100292	Cyu2300	[x]unspecified diabetes mellitus with renal complications	Diabetes with end-organ damage	2
100296	B582100	secondary malignant neoplasm of skin of face	Metastatic solid tumour	4
100347	C10A500	malnutritn-relat diabetes melitus wth periph circul complctn	Diabetes with end-organ damage	2
100352	B601500	lymphosarcoma of lymph nodes of inguinal region and leg	Any malignancy	2
100397	38DT.00	asthma control questionnaire	Chronic pulmonary disease	1
100422	8HgC.00	discharged from diabetes shared care programme	Diabetes (uncomplicated)	1
100423	B610100	"hodgkin's paragranuloma of lymph nodes of head, face, neck"	Any malignancy	2
10043	66YJ.00	asthma annual review	Chronic pulmonary disease	1
100430	66k..00	cystic fibrosis monitoring	Chronic pulmonary disease	1
100436	679L000	education in self management of diabetes	Diabetes (uncomplicated)	1
100474	J612.12	laennec's cirrhosis	Mild liver disease	1
100509	9NNX.00	under care of asthma specialist nurse	Chronic pulmonary disease	1
100520	66k0.00	cystic fibrosis annual review	Chronic pulmonary disease	1
