medcode	readcode	readterm	condition
100002	B062z00	malignant neoplasm of tonsillar fossa nos	Solid tumour or leukaemia
100006	B602200	burkitt's lymphoma of intrathoracic lymph nodes	Lymphoma
100015	8CRB.00	transient ischaemic attack clinical management plan	Other neurological disorders
100025	7A34F00	operation on aneurysm of suprarenal artery nec	Peripheral vascular disease
100033	U60231E	[x] adverse reaction to insulins and antidiabetic agents nos	Diabetes (uncomplicated)
100036	7A41D00	bypass iliac artery by iliac/iliac artery anastomosis nec	Peripheral vascular disease
100065	P61z.00	congenital tricuspid atresia or stenosis nos	Valvular disease
100073	7800112	piggy back liver transplant	Liver disease
1001	H3...00	chronic obstructive pulmonary disease	Chronic pulmonary disease
100107	679J000	health education - asthma self management	Chronic pulmonary disease
100111	BB46.00	[m]schneiderian carcinoma	Solid tumour or leukaemia
100113	7A47.12	other emergency bypass of common femoral artery	Peripheral vascular disease
100128	F124.00	vascular parkinsonism	Other neurological disorders
100144	B004300	"malignant neoplasm of lip, oral aspect"	Solid tumour or leukaemia
10015	1BT..00	depressed mood	Depression
100178	8Hq..00	admission to substance misuse detoxification centre	Drug abuse
100179	665A000	antidepressant drug treatment stopped	Depression
100183	B807300	carcinoma in situ of meckel's diverticulum	Solid tumour or leukaemia
100187	38DZ.00	disease activity score in rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
100195	7A1B600	endovascular stenting for aortic aneurysm of bifurcation nec	Peripheral vascular disease
100205	K0E..00	acute-on-chronic renal failure	Renal disease
100234	329B.00	ecg: trifascicular block	Cardiac arrythmia
100237	38Dg.00	chronic obstructive pulmonary disease assessment test	Chronic pulmonary disease
100253	J615C00	xanthomatous portal cirrhosis	Liver disease
100267	BBZG.11	"[m]adamantinoma, malignant"	Solid tumour or leukaemia
100291	P65z.00	congenital mitral stenosis nos	Valvular disease
100292	Cyu2300	[x]unspecified diabetes mellitus with renal complications	Renal disease
100296	B582100	secondary malignant neoplasm of skin of face	Metastatic cancer
100347	C10A500	malnutritn-relat diabetes melitus wth periph circul complctn	Diabetes with end-organ damage
100352	B601500	lymphosarcoma of lymph nodes of inguinal region and leg	Lymphoma
100397	38DT.00	asthma control questionnaire	Chronic pulmonary disease
100405	141F.00	history of viral hepatitis	Liver disease
100422	8HgC.00	discharged from diabetes shared care programme	Diabetes (uncomplicated)
100423	B610100	"hodgkin's paragranuloma of lymph nodes of head, face, neck"	Lymphoma
10043	66YJ.00	asthma annual review	Chronic pulmonary disease
100430	66k..00	cystic fibrosis monitoring	Chronic pulmonary disease
100436	679L000	education in self management of diabetes	Diabetes (uncomplicated)
10047	P736.12	pulmonary arterio-venous malformation	Pulmonary circulation disorders
100474	J612.12	laennec's cirrhosis	Liver disease
100477	1V26.00	misused drugs in past	Drug abuse
100482	7911500	transapical aortic valve implantation	Valvular disease
100485	329D.00	ecg: left anterior fascicular block	Cardiac arrythmia
1005	G541212	"aortic regurgitation alone, cause unspecified"	Valvular disease
100503	8IAb.00	multiple sclerosis review declined	Other neurological disorders
100509	9NNX.00	under care of asthma specialist nurse	Chronic pulmonary disease
100518	329C.00	ecg: bifascicular block	Cardiac arrythmia
100520	66k0.00	cystic fibrosis annual review	Chronic pulmonary disease
100532	B622z00	sezary's disease nos	Lymphoma
100533	66AQ000	unsuitable for diabetes year of care programme	Diabetes (uncomplicated)
100544	BBh2.00	"[m]reticulosarcoma, nodular"	Lymphoma
100558	K0A0000	"acute nephritic syndrome, minor glomerular abnormality"	Renal disease
100576	D01yy00	other specified other nutritional deficiency anaemia	Weight loss
100579	Gyu7000	[x]atherosclerosis of other arteries	Peripheral vascular disease
100584	B110000	malignant neoplasm of cardiac orifice of stomach	Solid tumour or leukaemia
100610	C370400	arthropathy in cystic fibrosis	Chronic pulmonary disease
10062	G6z..00	cerebrovascular disease nos	Other neurological disorders
100625	BB5R500	"[m]carcinoid tumour, nonargentaffin, malignant"	Solid tumour or leukaemia
100633	1Z1G.11	ckd stage 3b without proteinuria	Renal disease
100634	ZV53013	[v]fitting or adjustment of neuropacemaker device	Cardiac arrythmia
