productname	formulation	route	drugsubstance	strength	database	productcode
Valdoxan 25mg tablets	Tablet	Oral	Agomelatine	25.000mg	Aurum	5077141000033117
Agomelatine 25mg tablets	Tablet	Oral	Agomelatine	25.000mg	Aurum	5077041000033116
Valdoxan 25mg tablets (Servier Laboratories Ltd)	Tablet	Oral	Agomelatine	25mg	Gold	40295
Agomelatine 25mg tablets	Tablet	Oral	Agomelatine	25mg	Gold	40494
Amitriptyline 10mg tablets	Tablet	Oral	Amitriptyline hydrochloride	10.000mg	Aurum	60441000033116
Amitriptyline 25mg tablets	Tablet	Oral	Amitriptyline hydrochloride	25.000mg	Aurum	60641000033119
Amitriptyline 50mg tablets	Tablet	Oral	Amitriptyline hydrochloride	50.000mg	Aurum	60541000033115
Amitriptyline 25mg / Perphenazine 2mg tablets	Tablet	Oral	Amitriptyline hydrochloride/ Perphenazine	25.000mg + 2.000mg	Aurum	3180441000033118
Triptafen tablets	Tablet	Oral	Amitriptyline hydrochloride/ Perphenazine	25.000mg + 2.000mg	Aurum	1473341000033117
Triptafen-M tablets	Tablet	Oral	Amitriptyline hydrochloride/ Perphenazine	10.000mg + 2.000mg	Aurum	1473441000033111
Amitriptyline 10mg / Perphenazine 2mg tablets	Tablet	Oral	Amitriptyline hydrochloride/ Perphenazine	10.000mg + 2.000mg	Aurum	3180541000033117
Amitriptyline 10mg/5ml oral suspension	Oral suspension	Oral	Amitriptyline hydrochloride	2.000mg/1.000ml	Aurum	5888641000033118
Amitriptyline 10mg/5ml oral solution	Oral solution	Oral	Amitriptyline hydrochloride	2.000mg/1.000ml	Aurum	5490141000033118
Amitriptyline 10mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	2.000mg/1.000ml	Aurum	10332441000033118
Amitriptyline 25mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	25.000mg	Aurum	45841000033119
Lentizol 25mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	25.000mg	Aurum	819741000033117
Amitriptyline 25mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	5.000mg/1.000ml	Aurum	55441000033119
Amitriptyline 50mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	50.000mg	Aurum	45941000033110
Lentizol 50mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	50.000mg	Aurum	819841000033110
Amitriptyline 50mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	10.000mg/1.000ml	Aurum	55541000033118
Amitriptyline 25mg tablets	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	49
Amitriptyline 10mg tablets	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	83
Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd)	Injection		Amitriptyline Hydrochloride	10mg/ml	Gold	182
Amitriptyline 25mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	25mg	Gold	487
Amitriptyline 25mg / Perphenazine 2mg tablets	Tablet	Oral	Amitriptyline hydrochloride/Perphenazine	25mg + 2mg	Gold	595
Triptafen tablets (AMCo)	Tablet	Oral	Amitriptyline hydrochloride/Perphenazine	25mg + 2mg	Gold	1208
Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride/Perphenazine	10mg + 2mg	Gold	1453
Amitriptyline 50mg tablets	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	1888
Lentizol 25mg modified-release capsules (Pfizer Ltd)	Modified-release capsule	Oral	Amitriptyline hydrochloride	25mg	Gold	2486
Amitriptyline 75mg modified-release capsules	Modified Release Capsules	Oral	Amitriptyline Hydrochloride	75mg	Gold	2525
Lentizol 50mg modified-release capsules (Pfizer Ltd)	Modified-release capsule	Oral	Amitriptyline hydrochloride	50mg	Gold	2985
Amitriptyline 10mg / Perphenazine 2mg tablets	Tablet	Oral	Amitriptyline hydrochloride/Perphenazine	10mg + 2mg	Gold	3490
Amitriptyline 10mg/5ml sugar free oral solution	Oral Solution Sugar-free	Oral	Amitriptyline Hydrochloride	10mg/5ml	Gold	3777
Amitriptyline 50mg modified-release capsules	Modified-release capsule	Oral	Amitriptyline hydrochloride	50mg	Gold	4682
Amitriptyline 50mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	10mg/1ml	Gold	4690
Amitriptyline 25mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	5mg/1ml	Gold	6312
Perphenazine 2mg with Amitriptyline 25mg tablet	Tablets	Oral	Amitriptyline Hydrochloride/Perphenazine	2mg + 25mg	Gold	6894
