"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"4140"	"130705001000027105"	"65255020"	"Oxazepam 30mg Capsule"	"Oxazepam"	"30mg"	"Capsule"	"Oral"	"04010200"	"Anxiolytics"
"4141"	"321315007"	"59841020"	"Oxazepam 15mg tablets"	"Oxazepam"	"15mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"4566"	"321314006"	"59840020"	"Oxazepam 10mg tablets"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"8721"	"93015001000027106"	"59842020"	"Oxazepam 30mg Tablet"	"Oxazepam"	"30mg"	"Tablet"	"Oral"	"04010200"	"Anxiolytics"
"25273"	"130745001000027100"	"65258020"	"Oxanid 10mg Tablet (M A Steinhard Ltd)"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010200"	"Anxiolytics"
"36604"	"498511000001100"	"49133020"	"Oxazepam 10mg tablets (A A H Pharmaceuticals Ltd)"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"41411"	"647511000001106"	"49134020"	"Oxazepam 15mg tablets (A A H Pharmaceuticals Ltd)"	"Oxazepam"	"15mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"41531"	"214711000001104"	"55034020"	"Oxazepam 10mg tablets (Actavis UK Ltd)"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"41542"	"76635001000027103"	"57821020"	"Oxazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010200"	"Anxiolytics"
"41553"	"616111000001109"	"49150020"	"Oxazepam 10mg tablets (Thornton & Ross Ltd)"	"Oxazepam"	"10mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"41601"	"76625001000027100"	"57820020"	"Oxazepam 15mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Oxazepam"	"15mg"	"Tablet"	"Oral"	"04010200"	"Anxiolytics"
"41602"	"191811000001107"	"55035020"	"Oxazepam 15mg tablets (Actavis UK Ltd)"	"Oxazepam"	"15mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"46946"	"500711000001102"	"49151020"	"Oxazepam 15mg tablets (Thornton & Ross Ltd)"	"Oxazepam"	"15mg"	"Tablet"	"Oral"	"04010201"	"Benzodiazepines"
"484"	"10225001000027103"	"49285020"	"Equagesic Tablet (Wyeth Pharmaceuticals)"	"Aspirin/ethoheptazine Citrate/meprobamate"	""	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"2828"	"321308004"	"64406020"	"Meprobamate 400mg tablets"	"Meprobamate"	"400mg"	"Tablet"	"Oral"	"04010200"	"Anxiolytics"
"3639"	"123805001000027108"	"64405020"	"Meprobamate 200mg Tablet"	"Meprobamate"	"200mg"	"Tablet"	"Oral"	"04010200/10020200"	"Anxiolytics/Skeletal Muscle Relaxants"
"8303"	"30925001000027100"	"51854020"	"Tenavoid Tablet (Edwin Burgess Ltd)"	"Meprobamate/Bendroflumethiazide"	""	"Tablet"	"Oral"	"02020100/04010200"	"Thiazides And Related Diuretics/Anxiolytics"
"8464"	"123835001000027104"	"64409020"	"Meprobamate with bendroflumethiazide Tablet"	"Meprobamate/Bendroflumethiazide"	""	"Tablet"	"Oral"	"02020100/04010200"	"Thiazides And Related Diuretics/Anxiolytics"
"11326"	"123865001000027109"	"64412020"	"Meprobamate with ethoheptazine citrate and aspirin Tablet"	"Aspirin/ethoheptazine Citrate/meprobamate"	""	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"12484"	"84115001000027101"	"58652020"	"Equanil 200mg Tablet (Wyeth Pharmaceuticals)"	"Meprobamate"	"200mg"	"Tablet"	"Oral"	"04010200/10020200"	"Anxiolytics/Skeletal Muscle Relaxants"
"12512"	"84125001000027105"	"58653020"	"Equanil 400mg Tablet (Wyeth Pharmaceuticals)"	"Meprobamate"	"400mg"	"Tablet"	"Oral"	"04010200/10020200"	"Anxiolytics/Skeletal Muscle Relaxants"
"24642"	"123895001000027106"	"64415020"	"Milonorm 400mg Tablet (Wallace Manufacturing Chemists Ltd)"	"Meprobamate"	"400mg"	"Tablet"	"Oral"	"04010200/10020200"	"Anxiolytics/Skeletal Muscle Relaxants"
"664"	"36040511000001101"	"64057020"	"Lorazepam 4mg/1ml solution for injection ampoules"	"Lorazepam"	"4mg/1ml"	"Solution for injection"	"Intramuscular/Intravenous"	"04010201/04080200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Benzodiazepines (peri-operative)"
"1088"	"321294008"	"58993020"	"Lorazepam 1mg tablets"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"2091"	"321295009"	"58994020"	"Lorazepam 2.5mg tablets"	"Lorazepam"	"2.5mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"7444"	"3925811000001106"	"48240020"	"Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd)"	"Lorazepam"	"4mg/1ml"	"Solution for injection"	"Intramuscular/Intravenous"	"04010201/04080200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Benzodiazepines (peri-operative)"
