"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"Release"
"6527441000033112"	"19956611000001102"	"Prefibin 0.4mg sublingual tablets (Sandoz Ltd)"	"Prefibin 0.4mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	""	""
"6527741000033117"	"19957411000001103"	"Tephine 400microgram sublingual tablets (Sandoz Ltd)"	"Tephine 400microgram sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	""	""
"10045741000033116"	"28491211000001101"	"Gabup 0.4mg sublingual tablets (Martindale Pharmaceuticals Ltd)"	"Gabup 0.4mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	""	""
"174241000033111"	"322492007"	"Buprenorphine 400microgram sublingual tablets sugar free"	"Buprenorphine 400microgram sublingual tablets sugar free"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	"4070200"	""
"1428641000033115"	"762111000001101"	"Temgesic 400microgram sublingual tablets (Indivior UK Ltd)"	"Temgesic 400microgram sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	"4070200"	""
"1835541000033116"	"292611000001104"	"Subutex 0.4mg sublingual tablets (Indivior UK Ltd)"	"Subutex 0.4mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"400.000microgram"	"4100300"	""
"10045841000033114"	"28491411000001102"	"Gabup 2mg sublingual tablets (Martindale Pharmaceuticals Ltd)"	"Gabup 2mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"2.000mg"	""	""
"6527141000033116"	"19956811000001103"	"Prefibin 2mg sublingual tablets (Sandoz Ltd)"	"Prefibin 2mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"2.000mg"	""	""
"1835641000033115"	"231411000001101"	"Subutex 2mg sublingual tablets (Indivior UK Ltd)"	"Subutex 2mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"2.000mg"	"4100300"	""
"1835341000033111"	"322496005"	"Buprenorphine 2mg sublingual tablets sugar free"	"Buprenorphine 2mg sublingual tablets sugar free"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"2.000mg"	"4100300"	""
"6527241000033111"	"19957011000001107"	"Prefibin 8mg sublingual tablets (Sandoz Ltd)"	"Prefibin 8mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"8.000mg"	""	""
"10046141000033110"	"28491611000001104"	"Gabup 8mg sublingual tablets (Martindale Pharmaceuticals Ltd)"	"Gabup 8mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"8.000mg"	""	""
"1835441000033117"	"322497001"	"Buprenorphine 8mg sublingual tablets sugar free"	"Buprenorphine 8mg sublingual tablets sugar free"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"8.000mg"	"4100300"	""
"1835741000033112"	"749211000001105"	"Subutex 8mg sublingual tablets (Indivior UK Ltd)"	"Subutex 8mg sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"8.000mg"	"4100300"	""
"6527641000033114"	"19957211000001102"	"Tephine 200microgram sublingual tablets (Sandoz Ltd)"	"Tephine 200microgram sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"200.000microgram"	""	""
"1426141000033112"	"867611000001105"	"Temgesic 200microgram sublingual tablets (Indivior UK Ltd)"	"Temgesic 200microgram sublingual tablets"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"200.000microgram"	"4070200"	""
"172641000033116"	"322498006"	"Buprenorphine 200microgram sublingual tablets sugar free"	"Buprenorphine 200microgram sublingual tablets sugar free"	"Sublingual tablet"	"Sublingual"	"Buprenorphine hydrochloride"	"200.000microgram"	"4100000"	""
"11029341000033114"	"31279211000001103"	"Butec 5micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)"	"Butec 5micrograms/hour transdermal patches"	"Transdermal patch"	"Transdermal"	"Buprenorphine"	"5.000microgram/1.000hour"	"4070200"	""
"12409541000033116"	"34838811000001108"	"Busiete 5micrograms/hour transdermal patches (Teva UK Ltd)"	"Busiete 5micrograms/hour transdermal patches"	"Transdermal patch"	"Transdermal"	"Buprenorphine"	"5.000microgram/1.000hour"	""	""
"12325741000033112"	"34551811000001100"	"Bupramyl 5micrograms/hour transdermal patches (Mylan)"	"Bupramyl 5micrograms/hour transdermal patches"	"Transdermal patch"	"Transdermal"	"Buprenorphine"	"5.000microgram/1.000hour"	""	""
"12603441000033118"	"35544311000001103"	"Bunov 5micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd)"	"Bunov 5micrograms/hour transdermal patches"	"Transdermal patch"	"Transdermal"	"Buprenorphine"	"5.000microgram/1.000hour"	""	""
