"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"320"	"122935001000027100"	"64276020"	"Buprenorphine HCl 300micrograms injection"	"Buprenorphine Hydrochloride"	"300micrograms/ml"	"Injection"	"Intravenous Injection"	"04070200"	"Opioid Analgesics"
"396"	"322498006"	"64275020"	"Buprenorphine 200microgram sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"200microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"3064"	"322492007"	"64277020"	"Buprenorphine 400microgram sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"3522"	"867611000001105"	"51848020"	"Temgesic 200microgram sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"200microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"5936"	"3446611000001101"	"80250020"	"Transtec 35micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"6040"	"3448811000001101"	"84669020"	"Transtec 52.5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"6056"	"322497001"	"52972020"	"Buprenorphine 8mg sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"6181"	"3449311000001104"	"84671020"	"Transtec 70micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"6210"	"749211000001105"	"85776020"	"Subutex 8mg sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"6547"	"322496005"	"52971020"	"Buprenorphine 2mg sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"6879"	"35913711000001103"	"83959020"	"Buprenorphine 35micrograms/hour transdermal patches"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"6917"	"35913811000001106"	"78619020"	"Buprenorphine 52.5micrograms/hour transdermal patches"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"7236"	"9567411000001100"	"89596020"	"Buprenorphine 10micrograms/hour transdermal patches"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
