"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"5306"	"435711000001108"	"86244020"	"Sonata 10mg capsules (Meda Pharmaceuticals Ltd)"	"Zaleplon"	"10mg"	"Capsule"	"Oral"	"04010100"	"Hypnotics"
"5352"	"321191009"	"86241020"	"Zaleplon 10mg capsules"	"Zaleplon"	"10mg"	"Capsule"	"Oral"	"04010100"	"Hypnotics"
"5916"	"321190005"	"86240020"	"Zaleplon 5mg capsules"	"Zaleplon"	"5mg"	"Capsule"	"Oral"	"04010100"	"Hypnotics"
"9598"	"846011000001109"	"86243020"	"Sonata 5mg capsules (Meda Pharmaceuticals Ltd)"	"Zaleplon"	"5mg"	"Capsule"	"Oral"	"04010100"	"Hypnotics"
"2017"	"321183000"	"75692020"	"Zolpidem 5mg tablets"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"3126"	"3206111000001102"	"75696020"	"Stilnoct 5mg tablets (Sanofi)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"3741"	"3199611000001102"	"75697020"	"Stilnoct 10mg tablets (Sanofi)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"5459"	"321184006"	"75693020"	"Zolpidem 10mg tablets"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"29869"	"120455001000027108"	"63881020"	"Zolpidem 5mg Tablet (Winthrop Pharmaceuticals Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"30981"	"3200311000001103"	"64738020"	"Zolpidem 10mg tablets (A A H Pharmaceuticals Ltd)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"31710"	"3206911000001104"	"64733020"	"Zolpidem 5mg tablets (A A H Pharmaceuticals Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"33841"	"5334411000001106"	"66946020"	"Zolpidem 10mg tablets (Mylan)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"41539"	"4231211000001109"	"65835020"	"Zolpidem 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"41696"	"3207711000001103"	"64484020"	"Zolpidem 5mg tablets (Teva UK Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"41697"	"4231011000001104"	"65832020"	"Zolpidem 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"42089"	"120465001000027104"	"63882020"	"Zolpidem 10mg Tablet (Winthrop Pharmaceuticals Ltd)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"43560"	"3201011000001105"	"64487020"	"Zolpidem 10mg tablets (Teva UK Ltd)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"65190"	"20920211000001100"	"42169020"	"Zolpidem 10mg tablets (Zentiva)"	"Zolpidem tartrate"	"10mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"74636"	"3210511000001106"	"66000020"	"Zolpidem 5mg tablets (Sandoz Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"74652"	"3660911000001101"	"65329020"	"Zolpidem 5mg tablets (Actavis UK Ltd)"	"Zolpidem tartrate"	"5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"75866"	""	"36649020"	"Zolpidem 5mg oral powder sachets"	"Zolpidem tartrate"	"5mg"	"Powder"	"Oral"	"04010100"	"Hypnotics"
"66"	"321175006"	"72416020"	"Zopiclone 7.5mg tablets"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"721"	"321177003"	"72417020"	"Zopiclone 3.75mg tablets"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"3320"	"810511000001108"	"72408020"	"Zimovane 7.5mg tablets (Sanofi)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"4187"	"178011000001104"	"83069020"	"Zimovane LS 3.75mg tablets (Sanofi)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
